datacenter_id;datacenter_name;id;type;role;level;bandwidth;total_used_bandwidth;traffic_history;ports;duration;active_duration;power_per_port;low_power;high_power;is_active;
0;Datacenter_1;0;switch;access switch;0;360000;2427.0;162.0:93.0:71.0:72.0:79.0:73.0:71.0:71.0:73.0:61.0:71.0:63.0:74.0:63.0:55.0:65.0:63.0:69.0:55.0:46.0:73.0:61.0:84.0:63.0:64.0:71.0:74.0:72.0:74.0:71.0:68.0:65.0:73.0:64.0:;400,True,0.24269999999999994,12,0,10000,2427.0,162.0-93.0-71.0-72.0-79.0-73.0-71.0-71.0-73.0-61.0-71.0-63.0-74.0-63.0-55.0-65.0-63.0-69.0-55.0-46.0-73.0-61.0-84.0-63.0-64.0-71.0-74.0-72.0-74.0-71.0-68.0-65.0-73.0-64.0-:401,True,0,13,0,10000,0,:0,True,0.0162,0,0,10000,162.0,162.0-:1,True,0.0093,0,1,10000,93.0,93.0-:2,True,0.0071,0,2,10000,71.0,71.0-:3,True,0.0072,0,3,10000,72.0,72.0-:4,True,0.0079,0,4,10000,79.0,79.0-:5,True,0.0073,0,5,10000,73.0,73.0-:6,True,0.0071,0,6,10000,71.0,71.0-:7,True,0.0071,0,7,10000,71.0,71.0-:8,True,0.0073,0,8,10000,73.0,73.0-:9,True,0.0061,0,9,10000,61.0,61.0-:10,True,0.0071,0,10,10000,71.0,71.0-:11,True,0.0063,0,11,10000,63.0,63.0-:12,True,0.0074,0,12,10000,74.0,74.0-:13,True,0.0063,0,13,10000,63.0,63.0-:14,True,0.0055,0,14,10000,55.0,55.0-:15,True,0.0065,0,15,10000,65.0,65.0-:16,True,0.0063,0,16,10000,63.0,63.0-:17,True,0.0069,0,17,10000,69.0,69.0-:18,True,0.0055,0,18,10000,55.0,55.0-:19,True,0.0046,0,19,10000,46.0,46.0-:20,True,0.0073,0,20,10000,73.0,73.0-:21,True,0.0061,0,21,10000,61.0,61.0-:22,True,0.0084,0,22,10000,84.0,84.0-:23,True,0.0063,0,23,10000,63.0,63.0-:24,True,0.0064,0,24,10000,64.0,64.0-:25,True,0.0071,0,25,10000,71.0,71.0-:26,True,0.0074,0,26,10000,74.0,74.0-:27,True,0.0072,0,27,10000,72.0,72.0-:28,True,0.0074,0,28,10000,74.0,74.0-:29,True,0.0071,0,29,10000,71.0,71.0-:30,True,0.0068,0,30,10000,68.0,68.0-:31,True,0.0065,0,31,10000,65.0,65.0-:32,True,0.0073,0,32,10000,73.0,73.0-:33,True,0.0064,0,33,10000,64.0,64.0-:;3.6094;0.006741666666666662;8;132;132;True;
0;Datacenter_1;1;switch;access switch;0;360000;3573.0;89.0:89.0:95.0:198.0:218.0:156.0:90.0:109.0:177.0:147.0:210.0:205.0:161.0:106.0:80.0:77.0:80.0:67.0:71.0:73.0:81.0:72.0:71.0:64.0:60.0:63.0:73.0:73.0:61.0:73.0:85.0:106.0:98.0:95.0:;402,True,0.35729999999999995,12,1,10000,3573.0,89.0-89.0-95.0-198.0-218.0-156.0-90.0-109.0-177.0-147.0-210.0-205.0-161.0-106.0-80.0-77.0-80.0-67.0-71.0-73.0-81.0-72.0-71.0-64.0-60.0-63.0-73.0-73.0-61.0-73.0-85.0-106.0-98.0-95.0-:403,True,0,13,1,10000,0,:34,True,0.0089,1,34,10000,89.0,89.0-:35,True,0.0089,1,35,10000,89.0,89.0-:36,True,0.0095,1,36,10000,95.0,95.0-:37,True,0.0198,1,37,10000,198.0,198.0-:38,True,0.0218,1,38,10000,218.0,218.0-:39,True,0.0156,1,39,10000,156.0,156.0-:40,True,0.009,1,40,10000,90.0,90.0-:41,True,0.0109,1,41,10000,109.0,109.0-:42,True,0.0177,1,42,10000,177.0,177.0-:43,True,0.0147,1,43,10000,147.0,147.0-:44,True,0.021,1,44,10000,210.0,210.0-:45,True,0.0205,1,45,10000,205.0,205.0-:46,True,0.0161,1,46,10000,161.0,161.0-:47,True,0.0106,1,47,10000,106.0,106.0-:48,True,0.008,1,48,10000,80.0,80.0-:49,True,0.0077,1,49,10000,77.0,77.0-:50,True,0.008,1,50,10000,80.0,80.0-:51,True,0.0067,1,51,10000,67.0,67.0-:52,True,0.0071,1,52,10000,71.0,71.0-:53,True,0.0073,1,53,10000,73.0,73.0-:54,True,0.0081,1,54,10000,81.0,81.0-:55,True,0.0072,1,55,10000,72.0,72.0-:56,True,0.0071,1,56,10000,71.0,71.0-:57,True,0.0064,1,57,10000,64.0,64.0-:58,True,0.006,1,58,10000,60.0,60.0-:59,True,0.0063,1,59,10000,63.0,63.0-:60,True,0.0073,1,60,10000,73.0,73.0-:61,True,0.0073,1,61,10000,73.0,73.0-:62,True,0.0061,1,62,10000,61.0,61.0-:63,True,0.0073,1,63,10000,73.0,73.0-:64,True,0.0085,1,64,10000,85.0,85.0-:65,True,0.0106,1,65,10000,106.0,106.0-:66,True,0.0098,1,66,10000,98.0,98.0-:67,True,0.0095,1,67,10000,95.0,95.0-:;3.6094;0.009924999999999996;8;132;132;True;
0;Datacenter_1;2;switch;access switch;0;360000;2492.0;94.0:68.0:73.0:61.0:73.0:83.0:74.0:63.0:73.0:72.0:63.0:72.0:74.0:69.0:63.0:72.0:66.0:65.0:72.0:226.0:63.0:72.0:64.0:63.0:66.0:64.0:64.0:66.0:66.0:78.0:57.0:64.0:64.0:65.0:;404,True,0.24919999999999998,12,2,10000,2492.0,94.0-68.0-73.0-61.0-73.0-83.0-74.0-63.0-73.0-72.0-63.0-72.0-74.0-69.0-63.0-72.0-66.0-65.0-72.0-226.0-63.0-72.0-64.0-63.0-66.0-64.0-64.0-66.0-66.0-78.0-57.0-64.0-64.0-65.0-:405,True,0,13,2,10000,0,:68,True,0.0094,2,68,10000,94.0,94.0-:69,True,0.0068,2,69,10000,68.0,68.0-:70,True,0.0073,2,70,10000,73.0,73.0-:71,True,0.0061,2,71,10000,61.0,61.0-:72,True,0.0073,2,72,10000,73.0,73.0-:73,True,0.0083,2,73,10000,83.0,83.0-:74,True,0.0074,2,74,10000,74.0,74.0-:75,True,0.0063,2,75,10000,63.0,63.0-:76,True,0.0073,2,76,10000,73.0,73.0-:77,True,0.0072,2,77,10000,72.0,72.0-:78,True,0.0063,2,78,10000,63.0,63.0-:79,True,0.0072,2,79,10000,72.0,72.0-:80,True,0.0074,2,80,10000,74.0,74.0-:81,True,0.0069,2,81,10000,69.0,69.0-:82,True,0.0063,2,82,10000,63.0,63.0-:83,True,0.0072,2,83,10000,72.0,72.0-:84,True,0.0066,2,84,10000,66.0,66.0-:85,True,0.0065,2,85,10000,65.0,65.0-:86,True,0.0072,2,86,10000,72.0,72.0-:87,True,0.0226,2,87,10000,226.0,226.0-:88,True,0.0063,2,88,10000,63.0,63.0-:89,True,0.0072,2,89,10000,72.0,72.0-:90,True,0.0064,2,90,10000,64.0,64.0-:91,True,0.0063,2,91,10000,63.0,63.0-:92,True,0.0066,2,92,10000,66.0,66.0-:93,True,0.0064,2,93,10000,64.0,64.0-:94,True,0.0064,2,94,10000,64.0,64.0-:95,True,0.0066,2,95,10000,66.0,66.0-:96,True,0.0066,2,96,10000,66.0,66.0-:97,True,0.0078,2,97,10000,78.0,78.0-:98,True,0.0057,2,98,10000,57.0,57.0-:99,True,0.0064,2,99,10000,64.0,64.0-:100,True,0.0064,2,100,10000,64.0,64.0-:101,True,0.0065,2,101,10000,65.0,65.0-:;3.6094;0.00692222222222222;8;132;132;True;
0;Datacenter_1;3;switch;access switch;0;360000;2335.0;64.0:64.0:64.0:73.0:74.0:64.0:74.0:74.0:56.0:65.0:62.0:72.0:64.0:64.0:74.0:71.0:77.0:73.0:71.0:64.0:73.0:73.0:65.0:71.0:60.0:62.0:84.0:75.0:73.0:76.0:63.0:64.0:76.0:56.0:;406,True,0.23349999999999999,12,3,10000,2335.0,64.0-64.0-64.0-73.0-74.0-64.0-74.0-74.0-56.0-65.0-62.0-72.0-64.0-64.0-74.0-71.0-77.0-73.0-71.0-64.0-73.0-73.0-65.0-71.0-60.0-62.0-84.0-75.0-73.0-76.0-63.0-64.0-76.0-56.0-:407,True,0,13,3,10000,0,:102,True,0.0064,3,102,10000,64.0,64.0-:103,True,0.0064,3,103,10000,64.0,64.0-:104,True,0.0064,3,104,10000,64.0,64.0-:105,True,0.0073,3,105,10000,73.0,73.0-:106,True,0.0074,3,106,10000,74.0,74.0-:107,True,0.0064,3,107,10000,64.0,64.0-:108,True,0.0074,3,108,10000,74.0,74.0-:109,True,0.0074,3,109,10000,74.0,74.0-:110,True,0.0056,3,110,10000,56.0,56.0-:111,True,0.0065,3,111,10000,65.0,65.0-:112,True,0.0062,3,112,10000,62.0,62.0-:113,True,0.0072,3,113,10000,72.0,72.0-:114,True,0.0064,3,114,10000,64.0,64.0-:115,True,0.0064,3,115,10000,64.0,64.0-:116,True,0.0074,3,116,10000,74.0,74.0-:117,True,0.0071,3,117,10000,71.0,71.0-:118,True,0.0077,3,118,10000,77.0,77.0-:119,True,0.0073,3,119,10000,73.0,73.0-:120,True,0.0071,3,120,10000,71.0,71.0-:121,True,0.0064,3,121,10000,64.0,64.0-:122,True,0.0073,3,122,10000,73.0,73.0-:123,True,0.0073,3,123,10000,73.0,73.0-:124,True,0.0065,3,124,10000,65.0,65.0-:125,True,0.0071,3,125,10000,71.0,71.0-:126,True,0.006,3,126,10000,60.0,60.0-:127,True,0.0062,3,127,10000,62.0,62.0-:128,True,0.0084,3,128,10000,84.0,84.0-:129,True,0.0075,3,129,10000,75.0,75.0-:130,True,0.0073,3,130,10000,73.0,73.0-:131,True,0.0076,3,131,10000,76.0,76.0-:132,True,0.0063,3,132,10000,63.0,63.0-:133,True,0.0064,3,133,10000,64.0,64.0-:134,True,0.0076,3,134,10000,76.0,76.0-:135,True,0.0056,3,135,10000,56.0,56.0-:;3.6094;0.006486111111111108;8;132;132;True;
0;Datacenter_1;4;switch;access switch;0;360000;2436.0;70.0:64.0:57.0:75.0:72.0:65.0:75.0:66.0:63.0:74.0:74.0:64.0:75.0:76.0:75.0:65.0:76.0:68.0:74.0:76.0:77.0:74.0:55.0:65.0:66.0:86.0:74.0:78.0:74.0:75.0:74.0:74.0:76.0:84.0:;408,True,0.24359999999999996,12,4,10000,2436.0,70.0-64.0-57.0-75.0-72.0-65.0-75.0-66.0-63.0-74.0-74.0-64.0-75.0-76.0-75.0-65.0-76.0-68.0-74.0-76.0-77.0-74.0-55.0-65.0-66.0-86.0-74.0-78.0-74.0-75.0-74.0-74.0-76.0-84.0-:409,True,0,13,4,10000,0,:136,True,0.007,4,136,10000,70.0,70.0-:137,True,0.0064,4,137,10000,64.0,64.0-:138,True,0.0057,4,138,10000,57.0,57.0-:139,True,0.0075,4,139,10000,75.0,75.0-:140,True,0.0072,4,140,10000,72.0,72.0-:141,True,0.0065,4,141,10000,65.0,65.0-:142,True,0.0075,4,142,10000,75.0,75.0-:143,True,0.0066,4,143,10000,66.0,66.0-:144,True,0.0063,4,144,10000,63.0,63.0-:145,True,0.0074,4,145,10000,74.0,74.0-:146,True,0.0074,4,146,10000,74.0,74.0-:147,True,0.0064,4,147,10000,64.0,64.0-:148,True,0.0075,4,148,10000,75.0,75.0-:149,True,0.0076,4,149,10000,76.0,76.0-:150,True,0.0075,4,150,10000,75.0,75.0-:151,True,0.0065,4,151,10000,65.0,65.0-:152,True,0.0076,4,152,10000,76.0,76.0-:153,True,0.0068,4,153,10000,68.0,68.0-:154,True,0.0074,4,154,10000,74.0,74.0-:155,True,0.0076,4,155,10000,76.0,76.0-:156,True,0.0077,4,156,10000,77.0,77.0-:157,True,0.0074,4,157,10000,74.0,74.0-:158,True,0.0055,4,158,10000,55.0,55.0-:159,True,0.0065,4,159,10000,65.0,65.0-:160,True,0.0066,4,160,10000,66.0,66.0-:161,True,0.0086,4,161,10000,86.0,86.0-:162,True,0.0074,4,162,10000,74.0,74.0-:163,True,0.0078,4,163,10000,78.0,78.0-:164,True,0.0074,4,164,10000,74.0,74.0-:165,True,0.0075,4,165,10000,75.0,75.0-:166,True,0.0074,4,166,10000,74.0,74.0-:167,True,0.0074,4,167,10000,74.0,74.0-:168,True,0.0076,4,168,10000,76.0,76.0-:169,True,0.0084,4,169,10000,84.0,84.0-:;3.6094;0.006766666666666664;8;132;132;True;
0;Datacenter_1;5;switch;access switch;0;360000;2543.0;79.0:77.0:73.0:64.0:73.0:78.0:76.0:74.0:86.0:72.0:74.0:78.0:74.0:62.0:75.0:77.0:53.0:74.0:83.0:74.0:73.0:85.0:80.0:72.0:73.0:72.0:74.0:79.0:73.0:84.0:71.0:84.0:73.0:74.0:;410,True,0.2543,12,5,10000,2543.0,79.0-77.0-73.0-64.0-73.0-78.0-76.0-74.0-86.0-72.0-74.0-78.0-74.0-62.0-75.0-77.0-53.0-74.0-83.0-74.0-73.0-85.0-80.0-72.0-73.0-72.0-74.0-79.0-73.0-84.0-71.0-84.0-73.0-74.0-:411,True,0,13,5,10000,0,:170,True,0.0079,5,170,10000,79.0,79.0-:171,True,0.0077,5,171,10000,77.0,77.0-:172,True,0.0073,5,172,10000,73.0,73.0-:173,True,0.0064,5,173,10000,64.0,64.0-:174,True,0.0073,5,174,10000,73.0,73.0-:175,True,0.0078,5,175,10000,78.0,78.0-:176,True,0.0076,5,176,10000,76.0,76.0-:177,True,0.0074,5,177,10000,74.0,74.0-:178,True,0.0086,5,178,10000,86.0,86.0-:179,True,0.0072,5,179,10000,72.0,72.0-:180,True,0.0074,5,180,10000,74.0,74.0-:181,True,0.0078,5,181,10000,78.0,78.0-:182,True,0.0074,5,182,10000,74.0,74.0-:183,True,0.0062,5,183,10000,62.0,62.0-:184,True,0.0075,5,184,10000,75.0,75.0-:185,True,0.0077,5,185,10000,77.0,77.0-:186,True,0.0053,5,186,10000,53.0,53.0-:187,True,0.0074,5,187,10000,74.0,74.0-:188,True,0.0083,5,188,10000,83.0,83.0-:189,True,0.0074,5,189,10000,74.0,74.0-:190,True,0.0073,5,190,10000,73.0,73.0-:191,True,0.0085,5,191,10000,85.0,85.0-:192,True,0.008,5,192,10000,80.0,80.0-:193,True,0.0072,5,193,10000,72.0,72.0-:194,True,0.0073,5,194,10000,73.0,73.0-:195,True,0.0072,5,195,10000,72.0,72.0-:196,True,0.0074,5,196,10000,74.0,74.0-:197,True,0.0079,5,197,10000,79.0,79.0-:198,True,0.0073,5,198,10000,73.0,73.0-:199,True,0.0084,5,199,10000,84.0,84.0-:200,True,0.0071,5,200,10000,71.0,71.0-:201,True,0.0084,5,201,10000,84.0,84.0-:202,True,0.0073,5,202,10000,73.0,73.0-:203,True,0.0074,5,203,10000,74.0,74.0-:;3.6094;0.007063888888888887;8;132;132;True;
0;Datacenter_1;6;switch;access switch;0;360000;2317.0;71.0:74.0:70.0:66.0:73.0:66.0:74.0:56.0:75.0:72.0:75.0:72.0:66.0:68.0:70.0:54.0:66.0:73.0:66.0:74.0:63.0:72.0:74.0:73.0:63.0:73.0:65.0:60.0:72.0:48.0:63.0:73.0:75.0:62.0:;412,True,0.23170000000000002,12,6,10000,2317.0,71.0-74.0-70.0-66.0-73.0-66.0-74.0-56.0-75.0-72.0-75.0-72.0-66.0-68.0-70.0-54.0-66.0-73.0-66.0-74.0-63.0-72.0-74.0-73.0-63.0-73.0-65.0-60.0-72.0-48.0-63.0-73.0-75.0-62.0-:413,True,0,13,6,10000,0,:204,True,0.0071,6,204,10000,71.0,71.0-:205,True,0.0074,6,205,10000,74.0,74.0-:206,True,0.007,6,206,10000,70.0,70.0-:207,True,0.0066,6,207,10000,66.0,66.0-:208,True,0.0073,6,208,10000,73.0,73.0-:209,True,0.0066,6,209,10000,66.0,66.0-:210,True,0.0074,6,210,10000,74.0,74.0-:211,True,0.0056,6,211,10000,56.0,56.0-:212,True,0.0075,6,212,10000,75.0,75.0-:213,True,0.0072,6,213,10000,72.0,72.0-:214,True,0.0075,6,214,10000,75.0,75.0-:215,True,0.0072,6,215,10000,72.0,72.0-:216,True,0.0066,6,216,10000,66.0,66.0-:217,True,0.0068,6,217,10000,68.0,68.0-:218,True,0.007,6,218,10000,70.0,70.0-:219,True,0.0054,6,219,10000,54.0,54.0-:220,True,0.0066,6,220,10000,66.0,66.0-:221,True,0.0073,6,221,10000,73.0,73.0-:222,True,0.0066,6,222,10000,66.0,66.0-:223,True,0.0074,6,223,10000,74.0,74.0-:224,True,0.0063,6,224,10000,63.0,63.0-:225,True,0.0072,6,225,10000,72.0,72.0-:226,True,0.0074,6,226,10000,74.0,74.0-:227,True,0.0073,6,227,10000,73.0,73.0-:228,True,0.0063,6,228,10000,63.0,63.0-:229,True,0.0073,6,229,10000,73.0,73.0-:230,True,0.0065,6,230,10000,65.0,65.0-:231,True,0.006,6,231,10000,60.0,60.0-:232,True,0.0072,6,232,10000,72.0,72.0-:233,True,0.0048,6,233,10000,48.0,48.0-:234,True,0.0063,6,234,10000,63.0,63.0-:235,True,0.0073,6,235,10000,73.0,73.0-:236,True,0.0075,6,236,10000,75.0,75.0-:237,True,0.0062,6,237,10000,62.0,62.0-:;3.6094;0.006436111111111109;8;132;132;True;
0;Datacenter_1;7;switch;access switch;0;360000;2287.0;72.0:75.0:62.0:76.0:75.0:67.0:73.0:63.0:63.0:65.0:62.0:74.0:64.0:72.0:75.0:63.0:53.0:70.0:63.0:64.0:63.0:71.0:65.0:70.0:73.0:59.0:63.0:65.0:72.0:64.0:64.0:64.0:81.0:62.0:;414,True,0.2287,12,7,10000,2287.0,72.0-75.0-62.0-76.0-75.0-67.0-73.0-63.0-63.0-65.0-62.0-74.0-64.0-72.0-75.0-63.0-53.0-70.0-63.0-64.0-63.0-71.0-65.0-70.0-73.0-59.0-63.0-65.0-72.0-64.0-64.0-64.0-81.0-62.0-:415,True,0,13,7,10000,0,:238,True,0.0072,7,238,10000,72.0,72.0-:239,True,0.0075,7,239,10000,75.0,75.0-:240,True,0.0062,7,240,10000,62.0,62.0-:241,True,0.0076,7,241,10000,76.0,76.0-:242,True,0.0075,7,242,10000,75.0,75.0-:243,True,0.0067,7,243,10000,67.0,67.0-:244,True,0.0073,7,244,10000,73.0,73.0-:245,True,0.0063,7,245,10000,63.0,63.0-:246,True,0.0063,7,246,10000,63.0,63.0-:247,True,0.0065,7,247,10000,65.0,65.0-:248,True,0.0062,7,248,10000,62.0,62.0-:249,True,0.0074,7,249,10000,74.0,74.0-:250,True,0.0064,7,250,10000,64.0,64.0-:251,True,0.0072,7,251,10000,72.0,72.0-:252,True,0.0075,7,252,10000,75.0,75.0-:253,True,0.0063,7,253,10000,63.0,63.0-:254,True,0.0053,7,254,10000,53.0,53.0-:255,True,0.007,7,255,10000,70.0,70.0-:256,True,0.0063,7,256,10000,63.0,63.0-:257,True,0.0064,7,257,10000,64.0,64.0-:258,True,0.0063,7,258,10000,63.0,63.0-:259,True,0.0071,7,259,10000,71.0,71.0-:260,True,0.0065,7,260,10000,65.0,65.0-:261,True,0.007,7,261,10000,70.0,70.0-:262,True,0.0073,7,262,10000,73.0,73.0-:263,True,0.0059,7,263,10000,59.0,59.0-:264,True,0.0063,7,264,10000,63.0,63.0-:265,True,0.0065,7,265,10000,65.0,65.0-:266,True,0.0072,7,266,10000,72.0,72.0-:267,True,0.0064,7,267,10000,64.0,64.0-:268,True,0.0064,7,268,10000,64.0,64.0-:269,True,0.0064,7,269,10000,64.0,64.0-:270,True,0.0081,7,270,10000,81.0,81.0-:271,True,0.0062,7,271,10000,62.0,62.0-:;3.6094;0.006352777777777775;8;132;132;True;
0;Datacenter_1;8;switch;access switch;0;360000;2298.0;75.0:70.0:65.0:75.0:62.0:71.0:56.0:66.0:70.0:72.0:83.0:73.0:61.0:73.0:64.0:62.0:64.0:74.0:74.0:60.0:61.0:65.0:72.0:56.0:84.0:62.0:62.0:74.0:70.0:61.0:63.0:49.0:65.0:84.0:;416,True,0.2298,12,8,10000,2298.0,75.0-70.0-65.0-75.0-62.0-71.0-56.0-66.0-70.0-72.0-83.0-73.0-61.0-73.0-64.0-62.0-64.0-74.0-74.0-60.0-61.0-65.0-72.0-56.0-84.0-62.0-62.0-74.0-70.0-61.0-63.0-49.0-65.0-84.0-:417,True,0,13,8,10000,0,:272,True,0.0075,8,272,10000,75.0,75.0-:273,True,0.007,8,273,10000,70.0,70.0-:274,True,0.0065,8,274,10000,65.0,65.0-:275,True,0.0075,8,275,10000,75.0,75.0-:276,True,0.0062,8,276,10000,62.0,62.0-:277,True,0.0071,8,277,10000,71.0,71.0-:278,True,0.0056,8,278,10000,56.0,56.0-:279,True,0.0066,8,279,10000,66.0,66.0-:280,True,0.007,8,280,10000,70.0,70.0-:281,True,0.0072,8,281,10000,72.0,72.0-:282,True,0.0083,8,282,10000,83.0,83.0-:283,True,0.0073,8,283,10000,73.0,73.0-:284,True,0.0061,8,284,10000,61.0,61.0-:285,True,0.0073,8,285,10000,73.0,73.0-:286,True,0.0064,8,286,10000,64.0,64.0-:287,True,0.0062,8,287,10000,62.0,62.0-:288,True,0.0064,8,288,10000,64.0,64.0-:289,True,0.0074,8,289,10000,74.0,74.0-:290,True,0.0074,8,290,10000,74.0,74.0-:291,True,0.006,8,291,10000,60.0,60.0-:292,True,0.0061,8,292,10000,61.0,61.0-:293,True,0.0065,8,293,10000,65.0,65.0-:294,True,0.0072,8,294,10000,72.0,72.0-:295,True,0.0056,8,295,10000,56.0,56.0-:296,True,0.0084,8,296,10000,84.0,84.0-:297,True,0.0062,8,297,10000,62.0,62.0-:298,True,0.0062,8,298,10000,62.0,62.0-:299,True,0.0074,8,299,10000,74.0,74.0-:300,True,0.007,8,300,10000,70.0,70.0-:301,True,0.0061,8,301,10000,61.0,61.0-:302,True,0.0063,8,302,10000,63.0,63.0-:303,True,0.0049,8,303,10000,49.0,49.0-:304,True,0.0065,8,304,10000,65.0,65.0-:305,True,0.0084,8,305,10000,84.0,84.0-:;3.6094;0.006383333333333331;8;132;132;True;
0;Datacenter_1;9;switch;access switch;0;360000;2377.0;76.0:75.0:62.0:73.0:63.0:73.0:73.0:83.0:72.0:66.0:74.0:72.0:70.0:65.0:74.0:75.0:70.0:71.0:67.0:64.0:64.0:56.0:73.0:73.0:73.0:73.0:71.0:74.0:64.0:70.0:75.0:66.0:64.0:63.0:;418,True,0.23769999999999997,12,9,10000,2377.0,76.0-75.0-62.0-73.0-63.0-73.0-73.0-83.0-72.0-66.0-74.0-72.0-70.0-65.0-74.0-75.0-70.0-71.0-67.0-64.0-64.0-56.0-73.0-73.0-73.0-73.0-71.0-74.0-64.0-70.0-75.0-66.0-64.0-63.0-:419,True,0,13,9,10000,0,:306,True,0.0076,9,306,10000,76.0,76.0-:307,True,0.0075,9,307,10000,75.0,75.0-:308,True,0.0062,9,308,10000,62.0,62.0-:309,True,0.0073,9,309,10000,73.0,73.0-:310,True,0.0063,9,310,10000,63.0,63.0-:311,True,0.0073,9,311,10000,73.0,73.0-:312,True,0.0073,9,312,10000,73.0,73.0-:313,True,0.0083,9,313,10000,83.0,83.0-:314,True,0.0072,9,314,10000,72.0,72.0-:315,True,0.0066,9,315,10000,66.0,66.0-:316,True,0.0074,9,316,10000,74.0,74.0-:317,True,0.0072,9,317,10000,72.0,72.0-:318,True,0.007,9,318,10000,70.0,70.0-:319,True,0.0065,9,319,10000,65.0,65.0-:320,True,0.0074,9,320,10000,74.0,74.0-:321,True,0.0075,9,321,10000,75.0,75.0-:322,True,0.007,9,322,10000,70.0,70.0-:323,True,0.0071,9,323,10000,71.0,71.0-:324,True,0.0067,9,324,10000,67.0,67.0-:325,True,0.0064,9,325,10000,64.0,64.0-:326,True,0.0064,9,326,10000,64.0,64.0-:327,True,0.0056,9,327,10000,56.0,56.0-:328,True,0.0073,9,328,10000,73.0,73.0-:329,True,0.0073,9,329,10000,73.0,73.0-:330,True,0.0073,9,330,10000,73.0,73.0-:331,True,0.0073,9,331,10000,73.0,73.0-:332,True,0.0071,9,332,10000,71.0,71.0-:333,True,0.0074,9,333,10000,74.0,74.0-:334,True,0.0064,9,334,10000,64.0,64.0-:335,True,0.007,9,335,10000,70.0,70.0-:336,True,0.0075,9,336,10000,75.0,75.0-:337,True,0.0066,9,337,10000,66.0,66.0-:338,True,0.0064,9,338,10000,64.0,64.0-:339,True,0.0063,9,339,10000,63.0,63.0-:;3.6094;0.006602777777777775;8;132;132;True;
