datacenter_id;datacenter_name;id;type;role;bandwidth;total_used_bandwidth;traffic_history;ports;duration;power_per_port;low_power;high_power;is_active;
0;Datacenter_1;0;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;449,True,113,0,1000,4000.0:0,True,0,0,1000,1000.0:1,True,0,1,1000,1000.0:2,True,0,2,1000,1000.0:3,True,0,3,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;1;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;450,True,113,1,1000,4000.0:4,True,1,4,1000,1000.0:5,True,1,5,1000,1000.0:6,True,1,6,1000,1000.0:7,True,1,7,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;2;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;451,True,113,2,1000,4000.0:8,True,2,8,1000,1000.0:9,True,2,9,1000,1000.0:10,True,2,10,1000,1000.0:11,True,2,11,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;3;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;452,True,113,3,1000,4000.0:12,True,3,12,1000,1000.0:13,True,3,13,1000,1000.0:14,True,3,14,1000,1000.0:15,True,3,15,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;4;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;453,True,114,4,1000,4000.0:16,True,4,16,1000,1000.0:17,True,4,17,1000,1000.0:18,True,4,18,1000,1000.0:19,True,4,19,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;5;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;454,True,114,5,1000,4000.0:20,True,5,20,1000,1000.0:21,True,5,21,1000,1000.0:22,True,5,22,1000,1000.0:23,True,5,23,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;6;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;455,True,114,6,1000,4000.0:24,True,6,24,1000,1000.0:25,True,6,25,1000,1000.0:26,True,6,26,1000,1000.0:27,True,6,27,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;7;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;456,True,114,7,1000,4000.0:28,True,7,28,1000,1000.0:29,True,7,29,1000,1000.0:30,True,7,30,1000,1000.0:31,True,7,31,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;8;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;457,True,114,8,1000,4000.0:32,True,8,32,1000,1000.0:33,True,8,33,1000,1000.0:34,True,8,34,1000,1000.0:35,True,8,35,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;9;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;458,True,115,9,1000,4000.0:36,True,9,36,1000,1000.0:37,True,9,37,1000,1000.0:38,True,9,38,1000,1000.0:39,True,9,39,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;10;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;459,True,115,10,1000,4000.0:40,True,10,40,1000,1000.0:41,True,10,41,1000,1000.0:42,True,10,42,1000,1000.0:43,True,10,43,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;11;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;460,True,115,11,1000,4000.0:44,True,11,44,1000,1000.0:45,True,11,45,1000,1000.0:46,True,11,46,1000,1000.0:47,True,11,47,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;12;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;461,True,115,12,1000,4000.0:48,True,12,48,1000,1000.0:49,True,12,49,1000,1000.0:50,True,12,50,1000,1000.0:51,True,12,51,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;13;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;462,True,115,13,1000,4000.0:52,True,13,52,1000,1000.0:53,True,13,53,1000,1000.0:54,True,13,54,1000,1000.0:55,True,13,55,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;14;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;463,True,116,14,1000,4000.0:56,True,14,56,1000,1000.0:57,True,14,57,1000,1000.0:58,True,14,58,1000,1000.0:59,True,14,59,1000,1000.0:;449.0;15.4;70;71;True;
0;Datacenter_1;15;switch;access switch;5000;4000.0;1000.0:1000.0:1000.0:1000.0:;464,True,116,15,1000,4000.0:60,True,15,60,1000,1000.0:61,True,15,61,1000,1000.0:62,True,15,62,1000,1000.0:63,True,15,63,1000,1000.0:;449.0;15.4;70;71;True;
