datacenter_id;datacenter_name;datacenter_storage_energy;storage_id;system;storage_capacity;capacity_used;active_duration;idle_intervals;duration;total_energy_active;total_energy_idle;average_rotation_latency;average_seek_Time;max_internal_data_transfer_rate;is_active;idle_power;active_power;files;
3;datacenter;74620.25930662733;1;storage;900000.0;14848.0;75.04598880685248;1.000011843801415:;316.53353194238684;435.26673507974436;3.0000355314042446;0.003;0.004;198.0;false;3.0;5.8;55596,3072,15.527644938419229:2-878231,1024,5.176917896926982:3-146550,512,2.5894332519900476:59497,2560,12.935593519444986:1-270738,1024,5.178682976377834:1-878245,1024,5.178834866959311:2-878239,1024,5.18193708002885:303644,3584,18.114864422044985:205517,1024,5.17775549407783:;
3;datacenter;74620.25930662733;2;storage;900000.0;25088.0;126.76521265201175;1.0000001634360047:;316.53353194238684;735.238233381668;3.000000490308014;0.003;0.004;198.0;false;3.0;5.8;1-612639,4096,20.692570051259533:304371,3584,18.103620375444194:304177,3584,18.10684531403772:80969,2048,10.353397834427485:1-591411,3072,15.52661445306374:6-361644,3072,15.523153488466145:304646,1536,7.76612696620493:1-270748,1024,5.17724718001471:55794,3072,15.530172293550322:;
3;datacenter;74620.25930662733;3;storage;900000.0;24576.0;139.71701553862707;1.000000197764156:;316.53353194238684;810.358690124037;3.0000005932924676;0.003;0.004;198.0;false;3.0;5.8;1-55872,3072,15.521324441002905:303623,3584,18.11480430432322:1-55740,3072,15.517820598473778:610287,512,2.591819053185974:304184,3584,18.112130313149194:55764,3072,15.521832432879044:9-240840,3072,15.518597406040044:450558,1024,5.181677217734046:303970,3584,18.109410497189778:;
3;datacenter;74620.25930662733;4;storage;900000.0;30720.0;168.1491305678377;1.0000003700028652:;316.53353194238684;975.2649572934585;3.0000011100085957;0.003;0.004;198.0;false;3.0;5.8;1-878237,1024,5.187122965529541:304462,3584,18.109880696759564:3-240840,3072,15.518553249785002:59487,2560,12.943631035028572:62907,2560,12.930559215882253:206082,3072,15.520000001381389:108645,4096,20.694369594034388:4-835506,9728,49.140108917109295:205496,1024,5.174072634040128:;
3;datacenter;74620.25930662733;5;storage;900000.0;12800.0;64.70585398187686;1.0000004590101392:;316.53353194238684;375.29395309488586;3.0000013770304177;0.003;0.004;198.0;false;3.0;5.8;16601,512,2.596673335321235:285602,512,2.6012589517503493:1-55782,3072,15.518546621765479:5-146550,512,2.5875392002396254:2-1002253,1024,5.185553190698623:1-1002255,1024,5.179380938638134:18023,512,2.5892261524930706:1-253144,2048,10.345789639196813:304904,3584,18.115889330013818:;
3;datacenter;74620.25930662733;6;storage;900000.0;62464.0;315.5335314556084;1.0000004867785033:;316.53353194238684;1830.094482442529;3.00000146033551;0.003;0.004;198.0;true;3.0;5.8;62965,3072,15.521422001152002:3-838506,512,2.597051023852346:108637,4096,20.693677181037753:6-840815,31232,157.74449278125536:90546,2048,10.349398116870221:2-146150,2560,12.935119328939047:206070,3072,15.526747170932559:303765,3584,18.104699628425468:2-840815,12288,62.06739856543222:;
3;datacenter;74620.25930662733;7;storage;900000.0;17920.0;90.5739227286454;1.000000504003444:;316.53353194238684;525.3287518261433;3.000001512010332;0.003;0.004;198.0;false;3.0;5.8;12-240840,3072,15.518478569547387:304960,3584,18.10879589656652:5-146150,512,2.5956892065209427:15-240840,3072,15.51772617144619:287086,512,2.593177633888726:5-428733,512,2.5978110076707095:4-760114,512,2.5891522592140768:1-55728,3072,15.51633680758394:22-240840,3072,15.518725966749601:;
3;datacenter;74620.25930662733;8;storage;900000.0;21504.0;108.67232504258439;1.0000005341591878:;316.53353194238684;630.2994852469894;3.000001602477563;0.003;0.004;198.0;false;3.0;5.8;2-1002257,1024,5.177497817914475:62855,3072,15.519959617680268:305064,3584,18.112930818793867:450552,1024,5.175630756244807:303772,3584,18.107563327674075:2-973347,3072,15.530071375988882:303943,1536,7.76201798035504:304814,3584,18.107613871145894:878239,1024,5.174367168417774:;
3;datacenter;74620.25930662733;9;storage;900000.0;16896.0;85.39195198443193;1.000000734973289:;316.53353194238684;495.27332150970506;3.0000022049198667;0.003;0.004;198.0;false;3.0;5.8;2-59502,2560,12.935530918668682:450544,1024,5.178882185289251:3-32082,512,2.589701818490723:258925,512,2.5993351702935032:3-591399,3072,15.519737683544083:3-591405,3072,15.520801061504718:1-55602,3072,15.517143459132415:303946,1536,7.769333415682979:303720,1536,7.76275926799567:;
3;datacenter;74620.25930662733;10;storage;900000.0;18432.0;108.66905751937506;1.000000889965496:;316.53353194238684;630.2805336123753;3.000002669896488;0.003;0.004;198.0;false;3.0;5.8;304981,3584,18.11256071104304:1002257,1024,5.17544903213109:1-55692,3072,15.51887272753129:725322,512,2.594219791310651:1-878243,1024,5.17646337683696:2-75952,2048,10.348110830324492:55668,3072,15.52702594358027:1-206106,3072,15.51983923463705:1-878239,1024,5.177136208750422:;
3;datacenter;74620.25930662733;11;storage;900000.0;24576.0;124.18589124545124;1.0000008967954797:;316.53353194238684;720.2781692236173;3.000002690386439;0.003;0.004;198.0;false;3.0;5.8;838506,6656,33.62421861245587:206118,3072,15.523871679410856:817767,3072,15.521761216301838:5-841315,512,2.5938923499673066:1-206088,3072,15.521260610366035:20697,512,2.5979411380742268:55698,3072,15.51941614804591:304008,1536,7.759023040427936:1-240840,3072,15.529946003230476:;
