datacenter_name;host_id;type;number_of_pes;available_pes;mips;available_mips;ram;available_ram;bw;available_bw;power_model;vms;
Datacenter_1;12;host;4;2;40000;21000;160000;628;10000;9868;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,6:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;13;host;4;2;40000;21000;160000;628;10000;9856;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,8:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,7:2,500.0,8388,8:2,500.0,8388,7:2,500.0,8388,8:2,500.0,8388,9:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:;
Datacenter_1;14;host;4;2;40000;21000;160000;628;10000;9789;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,7:2,500.0,8388,8:2,500.0,8388,11:2,500.0,8388,14:2,500.0,8388,15:2,500.0,8388,15:2,500.0,8388,14:2,500.0,8388,16:2,500.0,8388,16:2,500.0,8388,16:2,500.0,8388,15:;
Datacenter_1;15;host;4;2;40000;21000;160000;628;10000;9756;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,15:2,500.0,8388,15:2,500.0,8388,15:2,500.0,8388,15:2,500.0,8388,15:2,500.0,8388,15:2,500.0,8388,15:2,500.0,8388,13:2,500.0,8388,14:2,500.0,8388,14:2,500.0,8388,15:2,500.0,8388,15:2,500.0,8388,13:2,500.0,8388,10:2,500.0,8388,9:2,500.0,8388,9:2,500.0,8388,9:2,500.0,8388,9:2,500.0,8388,9:;
Datacenter_1;16;host;4;2;40000;21000;160000;628;10000;9799;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,10:2,500.0,8388,13:2,500.0,8388,14:2,500.0,8388,12:2,500.0,8388,13:2,500.0,8388,13:2,500.0,8388,14:2,500.0,8388,13:2,500.0,8388,14:2,500.0,8388,13:;
Datacenter_1;17;host;4;2;40000;21000;160000;628;10000;9711;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,13:2,500.0,8388,13:2,500.0,8388,13:2,500.0,8388,13:2,500.0,8388,15:2,500.0,8388,13:2,500.0,8388,16:2,500.0,8388,17:2,500.0,8388,17:2,500.0,8388,17:2,500.0,8388,16:2,500.0,8388,17:2,500.0,8388,16:2,500.0,8388,16:2,500.0,8388,16:2,500.0,8388,16:2,500.0,8388,16:2,500.0,8388,14:2,500.0,8388,15:;
Datacenter_1;18;host;4;2;40000;21000;160000;628;10000;9802;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,15:2,500.0,8388,16:2,500.0,8388,14:2,500.0,8388,13:2,500.0,8388,12:2,500.0,8388,11:2,500.0,8388,11:2,500.0,8388,11:2,500.0,8388,11:2,500.0,8388,10:2,500.0,8388,9:2,500.0,8388,9:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:2,500.0,8388,8:;
Datacenter_1;19;host;4;2;40000;21000;160000;628;10000;9865;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,8:2,500.0,8388,7:2,500.0,8388,8:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;20;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
Datacenter_1;21;host;4;2;40000;21000;160000;628;10000;9867;93.7,97.0,101.0,105.0,110.0,116.0,121.0,125.0,129.0,133.0,135.0,;2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:2,500.0,8388,7:;
